nid,name,address,state
1229829,Columbia Aged Care Services - Oberon Village,OBERON NSW 2787,NSW
1193790,The Whiddon Group - Grafton,GRAFTON NSW 2460,NSW
1491081,Calamvale Parklands Care Community,CALAMVALE QLD 4116,QLD
1212707,Regis Birkdale,BIRKDALE QLD 4159,QLD
1203815,Amana Living Edward Collick Home,KALGOORLIE WA 6430,WA
1377045,Charla Lodge,BORDERTOWN SA 5268,SA
1197088,Calvary Kirralee,BALLARAT VIC 3350,VIC
1209792,The Whiddon Group Temora - Greenstone,TEMORA NSW 2666,NSW
1202054,St Agnes Site,PORT MACQUARIE NSW 2444,NSW
1231731,Regis Tasmania - Norwood,NORWOOD TAS 7250,TAS
1918465,Diamond Creek Care Community,DIAMOND CREEK VIC 3089,VIC
1240611,Anglicare Melva McDonald Lodge,ROOTY HILL NSW 2766,NSW
1195008,Lutheran Services - Zion,NUNDAH QLD 4012,QLD
1760548,Uniting AgeWell Andrew Kerr Care,MORNINGTON VIC 3931,VIC
1950444,The Lakes Hostel,EDENHOPE VIC 3318,VIC
1661234,Kanangra Hostel,DELORAINE TAS 7304,TAS
1234360,Juniper Korumup,LOCKYER WA 6330,WA
1208111,SWIAA Gardens,BOSSLEY PARK NSW 2176,NSW
1906199,Chamberlain Gardens Aged Care,WYOMING NSW 2250,NSW
1204964,The Whiddon Group - Weeronga,WEE WAA NSW 2388,NSW
1196202,Rosebank Nursing Home,YEA VIC 3717,VIC
1372447,Lower North - Snowtown MPS,SNOWTOWN SA 5520,SA
1196726,St Vincent's Care Services Werribee,WERRIBEE VIC 3030,VIC
1207068,Catholic Healthcare St Anne's Aged Care,HUNTERS HILL NSW 2110,NSW
1215540,SummitCare Randwick,RANDWICK NSW 2031,NSW
1651350,Calvary The Regent,MOUNT WAVERLEY VIC 3149,VIC
1808876,Uniting Tumut,TUMUT NSW 2720,NSW
1961265,Estia Health Pacific Paradise,PACIFIC PARADISE QLD 4564,QLD
1885287,Oran Park House Aged Care Facility,ORAN PARK NSW 2570,NSW
1233661,Blue Care Alexandra Hills Nandeebie Aged Care Faci,ALEXANDRA HILLS QLD 4161,QLD
1211513,Blue Care Redcliffe Aged Care Facility,REDCLIFFE QLD 4020,QLD
1218589,Calvary Henley Manor,DOONSIDE NSW 2767,NSW
1209942,Helping Hand Aged Care - Rotary House,NORTH ADELAIDE SA 5006,SA
1210899,Cypress View Lodge,COLEAMBALLY NSW 2707,NSW
1220541,Calvary Ryde Retirement Community - Mary Potter Re,RYDE NSW 2112,NSW
1210428,Uniting Narla Belmont North,BELMONT NORTH NSW 2280,NSW
1715969,Ozcare Magdalene Villa Aged Care Facility,TREBONNE QLD 4850,QLD
1208023,Warrina Court Residential Aged Care Service,CAMPBELLTOWN SA 5074,SA
1198354,Fronditha Anesi Aged Care Services - Thornbury,THORNBURY VIC 3071,VIC
1805656,The Queenslea,CLAREMONT WA 6010,WA
1196219,Arcare Slacks Creek,SLACKS CREEK QLD 4127,QLD
1209896,Cabanda Aged Care,ROSEWOOD QLD 4340,QLD
1194111,Blue Care Bundaberg Pioneer Aged Care Facility,BUNDABERG QLD 4670,QLD
1195308,Allambee Nursing Home Kingston Centre,CHELTENHAM VIC 3192,VIC
1210320,McKellar Centre,NORTH GEELONG VIC 3215,VIC
1835824,Bethania Gardens,BETHANIA QLD 4205,QLD
2180474,Langwarrin Community Aged Care,LANGWARRIN VIC 3910,VIC
2163153,BlueCross The Gables,CAMBERWELL VIC 3124,VIC
1207970,HammondCare - Caulfield Village,CAULFIELD VIC 3162,VIC
2304602,Frederic House,WATERLOO NSW 2017,NSW
1210670,Anglican Care Warnervale Gardens,WOONGARRAH NSW 2259,NSW
1211700,Amana Living Wearne Home,DUDLEY PARK WA 6210,WA
1224199,Regis North Fremantle,NORTH FREMANTLE WA 6159,WA
1209570,Eloura,QUIRINDI NSW 2343,NSW
1234401,St Paul de Chartres Residential Aged Care,BORONIA HEIGHTS QLD 4124,QLD
1193948,Little Sisters of the Poor Glendalough Home,GLENDALOUGH WA 6016,WA
1961313,Bolton Clarke Keperra Sanctuary,KEPERRA QLD 4054,QLD
1222094,Markmoran at Vaucluse,VAUCLUSE NSW 2030,NSW
1961293,Bolton Clarke Ross Robertson,VICTOR HARBOR SA 5211,SA
1197623,Regis Sunraysia,MILDURA VIC 3500,VIC
2141615,Bolton Clarke Rosebrook,ROSEBUD VIC 3939,VIC
1209722,Katherine Hostel,KATHERINE NT 0850,NT
1210125,SummitCare Penrith,JAMISONTOWN NSW 2750,NSW
1193915,Woombye Care,WOOMBYE QLD 4559,QLD
2162793,BlueCross Box Hill,BOX HILL VIC 3128,VIC
1205072,Disability SA Northgate,NORTHGATE SA 5085,SA
2144676,Pacific Cape,FORSTER NSW 2428,NSW
1961343,Bolton Clarke Greenview,DONVALE VIC 3111,VIC
2163126,Vermont Views Care Community,VERMONT SOUTH VIC 3133,VIC
1209506,Presbyterian Aged Care - Minnamurra,DRUMMOYNE NSW 2047,NSW
1210233,Wattle Hill Lodge,BUNBURY WA 6230,WA
1208494,Glengarry,MOSMAN NSW 2088,NSW
2063875,Kalkarni Residency,BROOKTON WA 6306,WA
1206968,Uniting McKay House Tamworth,TAMWORTH NSW 2340,NSW
1204698,Peakhurst Nursing Home,PEAKHURST NSW 2210,NSW
1208491,Marine Views Cottesloe,COTTESLOE WA 6011,WA
1221640,Anglicare SQ Symes Thorpe Home for the Aged,MIDDLE RIDGE QLD 4350,QLD
1235181,Turramurra House Nursing Home,NORTH TURRAMURRA NSW 2074,NSW
2055085,TriCare Pimpama Aged Care Residence,PIMPAMA QLD 4209,QLD
1207532,Ananda Aged Care Findon,FINDON SA 5023,SA
1210201,Mt Kooyong Convalescent Home,JULATTEN QLD 4871,QLD
1237886,Medea Park Nursing Home,ST HELENS TAS 7216,TAS
2057665,mecwacare Susan Barton House,DARLEY VIC 3340,VIC
1197443,Kewarra Beach Aged Care,KEWARRA BEACH QLD 4879,QLD
1212765,Southern Cross Care St Martha's Residential Aged C,BANORA POINT NSW 2486,NSW
1196249,Lourdes Valley The Lodge Residential Care,MYRTLE BANK SA 5064,SA
1199681,MercyCare Wembley Catherine McAuley,WEMBLEY WA 6014,WA
1232683,Estia Health South Morang,SOUTH MORANG VIC 3752,VIC
1216384,Melville Parkside Care Community,MYAREE WA 6154,WA
1209430,Riverview Gardens Aged Care Plus Centre,RIVERVIEW QLD 4303,QLD
1197348,Imlay House,PAMBULA NSW 2549,NSW
1915374,Regis Camp Hill,CAMP HILL QLD 4152,QLD
1194898,ACH Group Residential Care - Perry Park (high care,PORT NOARLUNGA SA 5167,SA
1208659,Kalyna Care,DELAHEY VIC 3037,VIC
1198452,Mary Ogilvy Home (B),NEW TOWN TAS 7008,TAS
2149612,Lake Cathie Manor Aged Care,LAKE CATHIE NSW 2445,NSW
1216886,Calvary Haydon Retirement Community,BRUCE ACT 2617,ACT
1199812,Blue Care Warana Beachwood Aged Care Facility,WARANA QLD 4575,QLD
1208307,The Willows Private Nursing Home Pty Ltd,ASHFIELD NSW 2131,NSW
1213884,Baptcare Karingal Community Care,DEVONPORT TAS 7310,TAS
1217462,Sunhaven Hostel,ASHFORD NSW 2361,NSW
1213695,Baptcare - Westhaven Community,FOOTSCRAY VIC 3011,VIC
1212572,Sacred Heart Community,ST KILDA VIC 3182,VIC
1212959,Infinite Care Tweed,TWEED HEADS WEST NSW 2485,NSW
1235945,Bupa Morphettville,MORPHETTVILLE SA 5043,SA
1196964,Aegis Balmoral,COMO WA 6152,WA
1220847,Capricorn Adventist Retirement Village,YEPPOON QLD 4703,QLD
1209238,BaptistCare Shalom Centre,MACQUARIE PARK NSW 2113,NSW
1209159,Churches of Christ Fair Haven Aged Care Service He,URRAWEEN QLD 4655,QLD
1211401,Calvary Brighton,SOUTH BRIGHTON SA 5048,SA
1225076,Calvary Vonlea Manor,NORLANE VIC 3214,VIC
1222656,Estia Health Kilbride,GILEAD NSW 2560,NSW
1203482,Bedingfeld Lodge,PINJARRA WA 6208,WA
1233277,Hesse Rural Health Service Nursing Home,WINCHELSEA VIC 3241,VIC
1235480,Woorayl Lodge Hostel,LEONGATHA VIC 3953,VIC
1232311,Teloca House Hostel,NARRANDERA NSW 2700,NSW
1212061,Blue Care Carbrook Wirunya Aged Care Facility,CARBROOK QLD 4130,QLD
1211598,Villa Maria Catholic Homes Willowbrooke Aged Care,UPPER FERNTREE GULLY VIC 3156,VIC
1212727,SwanCare Waminda,BENTLEY WA 6102,WA
1194410,Aegis Parkview,REDCLIFFE WA 6104,WA
1422044,Uniting AgeWell Strathglen,BERRIEDALE TAS 7011,TAS
1211254,Arcare Surrey Hills,SURREY HILLS VIC 3127,VIC
1451254,Somerville Gardens Care Community,SOMERVILLE VIC 3912,VIC
1234586,Baptcare Peninsula View Community,FRANKSTON SOUTH VIC 3199,VIC
1213653,Linsell Lodge Aged Care Facility,ANGLE PARK SA 5010,SA
2258895,Lyndoch Nursing Home,WARRNAMBOOL VIC 3280,VIC
1236440,Bentons Lodge - Residential Aged Service,MORNINGTON VIC 3931,VIC
1210590,Catholic Healthcare Lewisham Nursing Home,LEWISHAM NSW 2049,NSW
1194619,Corangamarah,COLAC VIC 3250,VIC
1233482,Allan W Lockwood Special Care Hostel,NATIMUK VIC 3409,VIC
1208077,Canterbury Place Care Community,CAMPSIE NSW 2194,NSW
1233590,Aegis Montgomery,MOUNT CLAREMONT WA 6010,WA
1220818,Bindaree Retirement Centre,MANSFIELD VIC 3722,VIC
1200348,Beverley MPS,BEVERLEY WA 6304,WA
1207401,Alstonville Adventist Aged Care Facility,ALSTONVILLE NSW 2477,NSW
1204291,Windsor Aged Care Services,WINDSOR QLD 4030,QLD
1195748,Scalabrini Village Allambie Heights,ALLAMBIE HEIGHTS NSW 2100,NSW
1206983,ACDMA Aged Care Services,CANLEY VALE NSW 2166,NSW
1207069,Catholic Healthcare The Sister Anne Court AgedCare,DARLINGHURST NSW 2010,NSW
1210069,70 Lowe Street,ARARAT VIC 3377,VIC
1235358,Mercy Health Bethlehem Home For The Aged,GOLDEN SQUARE VIC 3555,VIC
1210326,Hepburn House,DAYLESFORD VIC 3460,VIC
1194836,Mooraleigh Hostel,BENTLEIGH EAST VIC 3165,VIC
1208356,Our Lady Of Consolation Home,ROOTY HILL NSW 2766,NSW
1207822,Laurina Lodge Hostel,HEYFIELD VIC 3858,VIC
1202606,Heritage Kingswood,KINGSWOOD NSW 2747,NSW
1192640,Ferndale Gardens Aged Care Facility,MORTDALE NSW 2223,NSW
2139427,Corpus Christi Community,GREENVALE VIC 3059,VIC
1199791,Carinity Colthup Manor,IPSWICH QLD 4305,QLD
1196187,Bupa South Morang,SOUTH MORANG VIC 3752,VIC
1197039,Regis Ontario,MILDURA VIC 3500,VIC
2141622,Bolton Clarke Newmans on the Park,TEMPLESTOWE VIC 3106,VIC
1211321,Uniting Starrett Lodge Hamlyn Terrace,HAMLYN TERRACE NSW 2259,NSW
2066299,Everard Park Care Community,EVERARD PARK SA 5035,SA
1212659,Annie Green Court,REDFERN NSW 2016,NSW
2163140,BlueCross Sheridan Hall Caulfield,CAULFIELD NORTH VIC 3161,VIC
1372404,Southern Flinders - Laura MPS,LAURA SA 5480,SA
1194902,Regis Tiwi,TIWI NT 0810,NT
1239137,Arcare Templestowe,TEMPLESTOWE VIC 3106,VIC
1202828,Regis Ferny Grove,FERNY GROVE QLD 4055,QLD
1218167,Eldercare Oxford,HOVE SA 5048,SA
1235395,Catholic Healthcare St Francis Aged Care - Orange,ORANGE NSW 2800,NSW
1231673,Carinity Cedarbrook,MUDGEERABA QLD 4213,QLD
1198369,Hippocrates Aged Care Centre,MAYFIELD EAST NSW 2304,NSW
1422059,The Oaks Aged Care Facility,YAHL SA 5291,SA
1215941,Regis Sandgate - Lucinda,SANDGATE QLD 4017,QLD
1236655,Bupa Wodonga,WODONGA VIC 3690,VIC
1197038,Regis Kingswood,KINGSWOOD SA 5062,SA
1234792,Craigcare Pascoe Vale,PASCOE VALE VIC 3044,VIC
1222166,Uniting Amala Gordon ACT,GORDON ACT 2906,ACT
1203342,Howard Solomon Residential Care,FERNDALE WA 6148,WA
1704157,Palm Lake Care Toowoomba,CRANLEY QLD 4350,QLD
1219523,Beaconsfield District Health Service,BEACONSFIELD TAS 7270,TAS
1232782,Estia Health Wodonga,WODONGA VIC 3690,VIC
1210559,Bolton Clarke Cazna Gardens,SUNNYBANK HILLS QLD 4109,QLD
1195893,Bupa Greenacre,GREENACRE NSW 2190,NSW
1963054,Walmsley Aged Care,KILSYTH VIC 3137,VIC
1657991,Infinite Care Mount Lofty,HARLAXTON QLD 4350,QLD
1207531,RSL ANZAC Village,NARRABEEN NSW 2101,NSW
1207395,Lions Haven For The Aged,HOPE ISLAND QLD 4212,QLD
1208255,Rosary Gardens,NEW TOWN TAS 7008,TAS
2024823,The Alba Aged Care Suites,SOUTH MELBOURNE VIC 3205,VIC
1238772,North Lakes Terrace Care Community,NORTH LAKES QLD 4509,QLD
1235426,Melrose Cottage Settlement,PENDLE HILL NSW 2145,NSW
1209202,Boandik Kessal,MOUNT GAMBIER SA 5290,SA
1205965,Rocky Point Residence,BEVERLEY PARK NSW 2217,NSW
1209780,The Whiddon Group - Temora,TEMORA NSW 2666,NSW
2180476,Jimboomba Community Aged Care,JIMBOOMBA QLD 4280,QLD
2293234,Edenfield Family Care West Park,GOOLWA SA 5214,SA
1211180,Wattle Rise,MARYBOROUGH VIC 3465,VIC
1212066,Blue Care Hollingsworth Elders Village,CAIRNS QLD 4870,QLD
1193918,Tanunda Lutheran Home,TANUNDA SA 5352,SA
1715455,Ozcare Bakhita Villa Aged Care Facility,OXLEY QLD 4075,QLD
1194642,Regis Blackburn,BLACKBURN VIC 3130,VIC
1950447,Arcare Cheltenham,CHELTENHAM VIC 3192,VIC
1205092,Arcare Caboolture,CABOOLTURE QLD 4510,QLD
2141355,Bolton Clarke Lynbrook Park,LYNBROOK VIC 3975,VIC
1645088,Dryandra Residential and Community Care Inc,KELLERBERRIN WA 6410,WA
1211390,Longridge Aged Care,NARACOORTE SA 5271,SA
1899751,Hamersley Nursing Home,SHENTON PARK WA 6008,WA
1234495,Ashburn House Aged Care Facility,GLADESVILLE NSW 2111,NSW
1371166,Flinders Ranges - Hawker MPS,HAWKER SA 5434,SA
1232758,Estia Health Ryde,RYDE NSW 2112,NSW
1209425,Bowder Care Centre,NAMBOUR QLD 4560,QLD
1235931,Bupa Kyneton,KYNETON VIC 3444,VIC
1208577,Aegis Alfred Carson,CLAREMONT WA 6010,WA
1213076,Tarragal House,ERINA NSW 2250,NSW
1961344,Bolton Clarke Hillside,HEATHFIELD SA 5153,SA
1220400,The Manor Fairfield East,FAIRFIELD NSW 2165,NSW
1234478,Estia Health Strathalbyn,STRATHALBYN SA 5255,SA
1208148,Bentleys Aged Care,EAST BENDIGO VIC 3550,VIC
1208975,Buckland,SPRINGWOOD NSW 2777,NSW
1220754,Infinite Care Cleveland,CLEVELAND QLD 4163,QLD
2211425,Wheller Gardens - Emmaus Village,CHERMSIDE QLD 4032,QLD
1196435,Albert Moore Gardens,MERIMBULA NSW 2548,NSW
1217800,RFBI Kurri Kurri Masonic Village,KURRI KURRI NSW 2327,NSW
1220058,Alice Ross-King Care Centre,BULL CREEK WA 6149,WA
1209514,St Andrew's Hostel,ARDEER VIC 3022,VIC
1377933,Uniting AgeWell Condare Court,CAMBERWELL VIC 3124,VIC
1202335,Banksia Village,BROULEE NSW 2537,NSW
1235657,Southern Cross Care Taroom - Leichhardt Villa,TAROOM QLD 4420,QLD
2163146,BlueCross Sheridan Hall Brighton,BRIGHTON VIC 3186,VIC
1205250,Blue Care Hervey Bay Masters Lodge Aged Care Facil,URRAWEEN QLD 4655,QLD
1233949,Estia Health Leopold,LEOPOLD VIC 3224,VIC
1809197,Lutheran Services - Cooinda Aged Care Centre,GYMPIE QLD 4570,QLD
1645376,Peter Badcoe VC House,NEWCASTLE NSW 2300,NSW
1204902,The Manor Nursing Home,KINGS MEADOWS TAS 7249,TAS
1210333,Voller Care Centre,BURNSIDE QLD 4560,QLD
1196796,HammondCare Scarborough,MIRANDA NSW 2228,NSW
1217742,Wharparilla Lodge,ECHUCA VIC 3564,VIC
1201982,Uniting Hawkesbury Richmond,RICHMOND NSW 2753,NSW
1212674,Coroneagh Park,PENGUIN TAS 7316,TAS
1214417,Villa Maria Catholic Homes Wantirna Aged Care Resi,WANTIRNA SOUTH VIC 3152,VIC
1491078,Berrinba Greens Care Community,BROWNS PLAINS QLD 4118,QLD
1203522,Bolton Clarke Chelsea,MARYBOROUGH QLD 4650,QLD
1377031,Strathalbyn & District Aged Care Facility,STRATHALBYN SA 5255,SA
1212110,Orbost MPS,ORBOST VIC 3888,VIC
1202824,Bupa Seaforth,SEAFORTH NSW 2092,NSW
1194897,May Shaw Aminya,SCOTTSDALE TAS 7260,TAS
1214681,Uniting Northaven Turramurra,TURRAMURRA NSW 2074,NSW
1236441,Bupa Pottsville Beach,POTTSVILLE NSW 2489,NSW
1209051,St Vincent's Care Services Kangaroo Point - Lilian,KANGAROO POINT QLD 4169,QLD
1207981,Anzac Lodge Private Nursing Home,COBURG NORTH VIC 3058,VIC
1235344,Adventist Retirement Village - Victoria Pt,VICTORIA POINT QLD 4165,QLD
1195207,Southern Cross Care Allora - Homestead,ALLORA QLD 4362,QLD
1204687,Nazareth House Camberwell,CAMBERWELL VIC 3124,VIC
1225754,Anglicare SQ Meilene Home for the Aged,BUNDABERG CENTRAL QLD 4670,QLD
1193946,St Joseph's House,PORT PIRIE SA 5540,SA
1215668,Mid West - Streaky Bay MPS,STREAKY BAY SA 5680,SA
1194748,Cooinda Village Inc,BENALLA VIC 3672,VIC
1201940,Wilson Lodge,SALE VIC 3850,VIC
1738511,Tingha Multi-Purpose Service,TINGHA NSW 2369,NSW
1221374,Campbell Town Health and Community Services,CAMPBELL TOWN TAS 7210,TAS
1192748,The Richardson West Perth,WEST PERTH WA 6005,WA
1203691,Bowral House Nursing Home,BOWRAL NSW 2576,NSW
1219866,Juniper Gerdewoonem,KUNUNURRA WA 6743,WA
1195973,Myoora Homestead Hostel,HENTY NSW 2658,NSW
1758340,Arcare Logan Reserve,LOGAN RESERVE QLD 4133,QLD
1211585,Anglicare Donington Court,CASTLE HILL NSW 2154,NSW
1213183,Caloundra Adventist Retirement Village,LITTLE MOUNTAIN QLD 4551,QLD
1209808,Benetas St Laurence Court - Kangaroo Flat,KANGAROO FLAT VIC 3555,VIC
1211609,Villa Maria Catholic Homes Providence Aged Care Re,MADDINGLEY VIC 3340,VIC
2042935,Ozcare Sarina Aged Care,SARINA QLD 4737,QLD
2059461,TLC Whitewater,MORDIALLOC VIC 3195,VIC
1229491,Avalon House,AVALON BEACH NSW 2107,NSW
1211104,Ozcare Noosa Heads,NOOSA HEADS QLD 4567,QLD
1221460,HammondCare - Wahroonga,WAHROONGA NSW 2076,NSW
1203256,Elizabeth Lodge Hostel,NORMANHURST NSW 2076,NSW
1961314,Bolton Clarke Pendle Hill,PENDLE HILL NSW 2145,NSW
1210244,Anglicare SQ St John's Home for Aged Men,TOOWONG QLD 4066,QLD
1207005,Heathcote Health Low Care Service,HEATHCOTE VIC 3523,VIC
2066296,Joslin Manor Care Community,JOSLIN SA 5070,SA
1422035,Heritage Care Illawong,ILLAWONG NSW 2234,NSW
1204250,Victoria by the Park,ELSTERNWICK VIC 3185,VIC
1207524,Aegis Lakeside,REDCLIFFE WA 6104,WA
1961268,Bolton Clarke Bayside (VIC),MORDIALLOC VIC 3195,VIC
2074953,Rockpool Pelican Waters,PELICAN WATERS QLD 4551,QLD
1208973,Craigcare Plumpton Villa,GLENROY VIC 3046,VIC
1208357,St Basil's Homes for the Aged in Victoria,FAWKNER VIC 3060,VIC
1238416,Calvary Lakes Entrance,KALIMNA VIC 3909,VIC
1197802,Coppin Centre,MELBOURNE VIC 3004,VIC
2113196,Mt Eliza Gardens Aged Care,MT ELIZA VIC 3930,VIC
1873258,Mark Moran at Warrawee,WARRAWEE NSW 2074,NSW
1208646,Killarney Court Aged Care Facility,KILLARNEY VALE NSW 2261,NSW
2162786,Chelsea Parkside Care Community,CHELSEA VIC 3196,VIC
1666223,Beaumont Care Wamuran,WAMURAN QLD 4512,QLD
1195241,Outlook Gardens Aged Care,DANDENONG NORTH VIC 3175,VIC
1194448,Blue Care Labrador Aged Care Facility,LABRADOR QLD 4215,QLD
1210510,Karri and Tuart Lodge,MERRIWA WA 6030,WA
1234689,Westmont Homestead,BARANDUDA VIC 3691,VIC
1209032,Mercy Place Parkville,PARKVILLE VIC 3052,VIC
2149868,The Palms Nursing Home,KIRRAWEE NSW 2232,NSW
1491073,Burpengary Gardens Care Community,BURPENGARY QLD 4505,QLD
1217073,Bupa Clemton Park,CLEMTON PARK NSW 2206,NSW
1211597,Anglicare Piper House,DAPTO NSW 2530,NSW
1199803,Carinity Clifford House,WOOLOOWIN QLD 4030,QLD
1617476,Whiddon Moree Nursing Home,MOREE NSW 2400,NSW
1208308,Melbourne Hebrew Memorial Nursing Home,CAULFIELD VIC 3162,VIC
2011568,South Port Community Residential Home,ALBERT PARK VIC 3206,VIC
1206089,Estia Health Encounter Bay,ENCOUNTER BAY SA 5211,SA
1680197,Charingfield,WAVERLEY NSW 2024,NSW
2055089,TriCare Kawana Waters Aged Care Residence,WARANA QLD 4575,QLD
2163135,BlueCross Highgrove,KEW VIC 3101,VIC
1210694,Mooroopna Place Residential Aged Care Service,MOOROOPNA VIC 3629,VIC
1215341,Calvary Viewhills Manor,ENDEAVOUR HILLS VIC 3802,VIC
1228116,TriCare Annerley Aged Care Residence,ANNERLEY QLD 4103,QLD
1236649,Regis Fawkner,FAWKNER VIC 3060,VIC
1810444,St Vincent's Care Carina,CARINA QLD 4152,QLD
1196026,Arcare Sanctuary Manors,HOPE ISLAND QLD 4212,QLD
1192822,Boyne Russell House,BRUNSWICK VIC 3056,VIC
1231957,St Vincent's Care Services Eltham - Willandra Lodg,ELTHAM VIC 3095,VIC
1197577,Narangba Aged Care,NARANGBA QLD 4504,QLD
1222125,Anglicare Dorothy Boyt House,MALABAR NSW 2036,NSW
1212865,Brightwater Onslow Gardens,SUBIACO WA 6008,WA
2163152,BlueCross Western Gardens,SUNSHINE VIC 3020,VIC
1211507,ACH Group Residential Care - Colton Court,MCLAREN VALE SA 5171,SA
1208600,Lutheran Services - Orana,KINGAROY QLD 4610,QLD
1240969,Juniper Hayloft,MARTIN WA 6110,WA
1207266,Eldercare The Lodge,WAYVILLE SA 5034,SA
1210179,Windsor Park Aged Care,CARLISLE WA 6101,WA
1216709,IRT Macarthur,CAMPBELLTOWN NSW 2560,NSW
2266808,Canberra Aged Care Facility,LYNEHAM ACT 2602,ACT
1209280,Burswood Care Gwen Hardie Lodge,EMU POINT WA 6330,WA
1216366,Royal Freemasons Footscray,FOOTSCRAY VIC 3011,VIC
1209263,UnitingSA Westminster Village Aged Care,GRANGE SA 5022,SA
1198526,Glenara Lakes,YOUNGTOWN TAS 7249,TAS
1221220,Nazareth Residential Aged Care,WOOLLOONGABBA QLD 4102,QLD
1204805,Aurrum Norah Head,NORAH HEAD NSW 2263,NSW
1208013,Anglicare The Donald Coburn Centre,CASTLE HILL NSW 2154,NSW
1195983,Bupa Baulkham Hills,BAULKHAM HILLS NSW 2153,NSW
1615384,Parklands Aged Care Facility & Retirement Village,URANGAN QLD 4655,QLD
